Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
EXT-T20,javascript_tool,As an agent I run JS in the page,Runtime.evaluate awaitPromise 10s; sanitizes creds/JWT/base64,10s timeout; serialization failure; depth limit 5; 1000-char truncation,"TC: eval expr; TC: timeout; TC: cred sanitize; TC: deep object",NOT-TESTED,0,,,
EXT-T21,collect_page_text,As an agent I collect a long/virtualized list in one call,Scrolls end-to-end deduping by text; boundary detection,virtualized DOM recycling; maxScrolls 1-50; count max 2000,"TC: long list; TC: virtualized list; TC: maxScrolls cap; TC: boundary stop",PARTIAL,0,,Has collect-text-core.test.js,2026-06-21
EXT-T22,view_screenshot,As an agent I re-view a captured screenshot,Returns stored base64 by imageId,imageId not found error,"TC: view by id; TC: missing id",NOT-TESTED,0,,,
EXT-T23,tabs_context,As an agent I list my managed tabs,Lists group+agent-opened+popup tabs; filters chrome:// restricted,tab closed mid-query; auto-discovery of untracked session tabs,"TC: group tabs+restricted filter; TC: active-tab fallback; TC: restricted-only empty",TESTED,0,,tabs-tool.test.js (chrome mocked),2026-06-21
EXT-T24,tabs_create,As an agent I open a new tab,Creates tab; groups (UI) or dedicated window (MCP),MCP skips grouping,"TC: create UI adds to group; TC: create MCP window tracks+no group",TESTED,0,,tabs-tool.test.js,2026-06-21
EXT-T25,tabs_close,As an agent I close a tab,Removes tab; cleans tracking + mouse state,tab missing error; tracking deleted even on remove failure,"TC: missing tabId; TC: close success+untrack; TC: missing tab error",TESTED,0,,tabs-tool.test.js,2026-06-21
EXT-T26,read_console_messages,As an agent I read captured console output,Returns session-scoped console msgs; regex filter; optional clear,invalid regex error; case-insensitive; limit clamp; onlyErrors,"TC: format levels; TC: onlyErrors; TC: regex filter; TC: invalid regex; TC: clear; TC: empty",TESTED,0,,monitoring-tool.test.js (6 cases; deps injected),2026-06-21
EXT-T27,read_network_requests,As an agent I read captured network requests,Returns session-scoped requests; substring filter; auto-enables tracking,status=0 for failures; enable-tracking error; empty,"TC: format method/url/status; TC: url filter; TC: auto-enable tracking; TC: enable error; TC: empty",TESTED,0,,monitoring-tool.test.js (5 cases; deps injected),2026-06-21
EXT-T28,update_plan,As an agent I submit a plan for approval,Sends plan to UI popup; auto-approves if askBeforeActing=false,UI unreachable can hang (no timeout); auto-approve path,"TC: auto-approve numbered steps; TC: approve; TC: reject cancel obj; TC(live): UI-unreachable",TESTED,0,,agent-tool.test.js; known: no approval timeout (live concern),2026-06-21
EXT-T29,turn_answer_start,As an agent I signal readiness to answer,Returns static ready message (Claude only),stateless,"TC: returns ready message",TESTED,0,,agent-tool.test.js,2026-06-21
EXT-T30,solve_captcha,As an agent I solve a captcha,Domain-specific solver on /dropout page via injected API call,no captcha data; non-dropout rejected; 401 entropy fail,"TC: no-data message; TC(live): non-dropout reject; TC(live): solve happy",PARTIAL,0,,agent-tool.test.js covers no-data branch; full flow needs live CDP/site,2026-06-21
EXT-T31,resize_window,As an agent I resize the browser window,chrome.windows.update width/height,tab/window missing; maximized window,"TC: resize success; TC: missing tab error string",TESTED,0,,agent-tool.test.js (chrome mocked),2026-06-21
EXT-T32,escalate,As an agent I escalate a blocker,Sends to planning system via MCP bridge; 3min timeout,no MCP session fallback; relay disconnect; object response,"TC: no-MCP fallback; TC: string guidance; TC: object response stringified",TESTED,0,,agent-tool.test.js (3 branches),2026-06-21
EXT-T33,get_info,As an agent I query session memory,Queries Mem0 via MCP bridge; falls back to raw context,empty query; no sessionId; no queryMemory; Mem0 throws,"TC: empty query; TC: no session; TC: raw context fallback; TC: success; TC: query error",TESTED,0,,agent-tool.test.js (5 branches),2026-06-21
EXT-A01,Agent loop,As a user my task runs until complete or max steps,Iterative LLM+tool loop; phase model tiering; cancellation stubs pending tool_uses,max steps reached failure; abort cascade; cancel mid-turn,"TC: completes; TC: max-steps; TC: cancel mid-turn",NOT-TESTED,0,,,
EXT-A02,Conversation persistence,As a user my chat history persists across tasks,Maintains conversationHistory; reset on CLEAR_CONVERSATION,task error preserves history,"TC: multi-task history; TC: clear resets",NOT-TESTED,0,,,
EXT-A03,Planning mode,As a user the agent plans before acting,Claude-only plan reminder; auto-approve when disabled,non-Claude skips; approval timeout,"TC: claude plans; TC: non-claude skips",NOT-TESTED,0,,,
EXT-A04,MCP task routing,As an agent I run parallel tasks in dedicated windows,Dedicated Chrome window per MCP task; max 5 concurrent; per-session config,window creation 2s delay; closed windows rely on TTL; idempotency guard,"TC: spawn window; TC: concurrency cap; TC: idempotent start",NOT-TESTED,0,,,
EXT-A05,Screenshot storage,As an agent I store/retrieve screenshots per session,Per-session capturedScreenshots map; base64 in history,unique imageId; large image context bloat,"TC: store+view; TC: cross-session isolation",NOT-TESTED,0,,,
EXT-A06,Error enhancement,As an agent I get actionable error context,Prepends context to permission/restriction errors,non-string passthrough; English-only keyword match,"TC: permission error enhanced; TC: non-string passthrough",NOT-TESTED,0,,,
EXT-A07,Session TTL cleanup,As a system I clean idle MCP sessions,5-min interval cleanup; TTL 1hr; skips running,running never cleaned; lastActivityAt fallback to createdAt,"TC: idle cleaned; TC: running kept",NOT-TESTED,0,,,
EXT-A08,Conversation compaction,As a system I compact long conversations,Triggers 170K tokens; injects summary; emergency fallback keeps recent msgs,token estimate 3.2 chars/token; blocks loop; emergency fallback path,"TC: below-threshold no-op; TC: token math; TC: image token estimate; TC: emergency compact valid user-first role",TESTED,1,Medium,DEF-004 fixed + conversation-compaction.test.js (9 cases incl emergency path),2026-06-21
EXT-A09,Memory manager summary,As a system I summarize the middle of long chats,At 40 msgs keep first+recent15 summarize middle,middle<10 skip; compression failure fallback,"TC: no-op<=max; TC: skip small middle; TC: compress structure; TC: getMemoryStats counts; TC: compressionNeeded flag; TC: clearMemory",TESTED,0,,memory-manager.test.js (6 cases; api.js mocked),2026-06-21
EXT-A10,Usage tracking,As a user I see token usage and cost,Records input/output/cache tokens; per-model cost estimate,unknown model->default pricing; per-session scope; zero-task success rate,"TC: accumulate tokens; TC: opus cost; TC: default pricing; TC: success rate; TC: session scope; TC: N/A pre-tasks",TESTED,0,,usage-tracker.test.js (6 cases),2026-06-21
EXT-A11,License manager (ext),As a user BYOM is unlimited,Daily limit check; pro/free; in-memory activation,pro expires on restart,"TC: byom allowed",NOT-TESTED,0,,,
EXT-L01,Config loading,As a system I load config from storage,Async load apiBaseUrl/apiKey/model/providerKeys/skills; appends built-in skills,missing keys default {},"TC: load defaults; TC: merge skills",PARTIAL,0,,api.test.js exists,2026-06-21
EXT-L02,Auth header resolution,As a system I build auth headers,OAuth Bearer for Anthropic else x-api-key; fallback to key,oauth token null fallback; non-Anthropic oauth ignored,"TC: oauth bearer; TC: api key; TC: null token fallback",PARTIAL,0,,api.test.js,2026-06-21
EXT-L03,Model tiering,As a system I route phases to model tiers,fast/smart/powerful map; fast only for observe/navigate; compose always default,non-Claude ignores tier; intent regex false-match,"TC: observe->fast; TC: compose->default; TC: non-claude default",PARTIAL,0,,api.test.js,2026-06-21
EXT-L04,callLLMSimple,As a system I make a one-shot LLM call,Dual signature; Codex/OAuth via provider.call else fetch; relay proxy fallback,configOverride not typed; shallow merge,"TC: string prompt; TC: messages obj; TC: relay fallback",NOT-TESTED,0,,,
EXT-L05,Relay proxy (OAuth),As a system I route Claude OAuth via relay,Adds Claude Code headers browser cannot set; native host fallback,relay disconnect 429 retry; rate limit invisible,"TC: relay proxy; TC: 429 fallback",NOT-TESTED,0,,,
EXT-L06,Native host proxy,As a system I stream API via native host,Streams response; token refresh; retry on stall 2x; 150s timeout,stall detection fuzzy; non-retryable fail fast,"TC: stream ok; TC: stall retry; TC: timeout",NOT-TESTED,0,,,
EXT-L07,Abort/cancellation,As a user I can stop a running call,External signal or global abort; preserves AbortError vs timeout,120s timeout; signal precedence,"TC: user abort; TC: timeout wrap",NOT-TESTED,0,,,
EXT-L08,Provider factory,As a system I detect the provider,By URL match or explicit name; OpenAI-compatible fallback,unknown URL fallback,"TC: detect by url; TC: by name; TC: unknown fallback",NOT-TESTED,0,,,
EXT-L09,Anthropic provider,As a system I call Anthropic natively,Minimal conversion; anthropic-beta for OAuth; cache control; streaming,cache headers unvalidated,"TC: messages; TC: oauth header; TC: streaming",NOT-TESTED,0,,,
EXT-L10,OpenAI provider,As a system I call OpenAI-compatible APIs,Maps to function_call format; SSE streaming JSON accumulation,fragmented tool JSON; invalid role/content,"TC: messages; TC: tool calls; TC: streaming",NOT-TESTED,0,,,
EXT-L11,Google provider,As a system I call Gemini,Maps to generativeAI functionDeclarations; auto mode,functionCall.id gen; args default {},"TC: messages; TC: function call",NOT-TESTED,0,,,
EXT-L12,OpenRouter provider,As a system I call OpenRouter,Extends OpenAI format; URL match,no router metadata,"TC: detect+call",NOT-TESTED,0,,,
EXT-L13,Codex provider,As a system I call ChatGPT Pro Codex,Responses format; relay/native; stream required; ccproxy 429 fallback,stream reassembly; silent model switch; non-streaming tool id,"TC: call; TC: 429 ccproxy fallback; TC: non-streaming tool_use id",NEEDS-REVIEW,1,Medium,DEF-009 fixed: non-streaming tool_use id fallback to item.id,2026-06-21
EXT-L14,Retry utility,As a system I retry transient failures,Backoff retry wrapper (exponential delay*2^(n-1)),max attempts; non-retryable; backoff timing,"TC: retry success; TC: exhausted; TC: exponential timing",TESTED,1,Low,DEF-005 fixed: linear->exponential to match contract,2026-06-21
EXT-S01,System prompt building,As a system I build the agent system prompt,Claude turn_answer_start + identity; non-Claude direct; date + mac shortcuts,platform hardcoded mac; very large prompt,"TC: claude prompt; TC: non-claude prompt",PARTIAL,0,,system-prompt.test.js,2026-06-21
EXT-S02,Domain skills loader,As a system I load per-domain tips,Fetch domain-skills.json; hostname match; user override; antiBot flag,fetch fail silent; URL parse catch; subdomain endsWith; lookalike domain,"TC: exact match; TC: subdomain; TC: lookalike no-match; TC: invalid url; TC: case-insensitive; TC: antibot true/false",TESTED,0,,domain-skills.test.js (9 cases; matching via userSkills),2026-06-21
EXT-S03,Mouse movement sim,As a system I move the mouse like a human,Ease-out curve + jitter; idle jiggle,jitter; duration ad-hoc; min steps; distance scaling,"TC: path start/end exact; TC: minSteps floor; TC: distance scales steps; TC: monotonic; TC: even delay",TESTED,0,,mouse-movement.test.js (5 cases),2026-06-21
EXT-S04,Claude OAuth manager,As a user I import Claude Code creds,Reads ~/.claude/.credentials.json via relay/native; stores tokens; refresh on 401,expiresAt string/number; null never expires,"TC: import; TC: refresh; TC: missing file",NOT-TESTED,0,,,
EXT-S05,Codex OAuth manager,As a user I import Codex creds,Reads ~/.codex/auth.json; relay/native dual; 10s timeout,relay-not-connected native fallback,"TC: import; TC: timeout",NOT-TESTED,0,,,
EXT-S06,Vertex auth,As a user I use Google Cloud Vertex,JWT RS256 from service account; token exchange; 5min cache buffer,SA JSON missing fields; token lost on SW restart,"TC: jwt sign; TC: cache; TC: bad SA json",NOT-TESTED,0,,,
EXT-S07,MCP bridge / relay client,As a system I connect to the local relay,WS register; queue; reconnect on alarm; type normalization,SW sleep drops socket; socket replaced stale callbacks,"TC: connect; TC: reconnect; TC: request/response; TC: stale socket",NOT-TESTED,0,,,
EXT-S08,Content script bridge,As a system I route messages to the page,onMessage switch READ_PAGE/FORM_INPUT/CLICK_REF etc; PING,async sendResponse; injection retry 100ms; unknown type error,"TC: ping; TC: read_page; TC: unknown type",NOT-TESTED,0,,,
EXT-S09,Accessibility tree,As a system I build a semantic element tree,Refs from backendNodeId; roles from ARIA/tag; visibility/interactive filter; depth 15,SVG/canvas empty name; onclick false-positive; refs unstable across nav; id with CSS-special chars,"TC: build tree; TC: interactive filter; TC: depth cap; TC: special-char id label",NEEDS-REVIEW,1,Medium,DEF-010 fixed: label lookup CSS.escape + try/catch,2026-06-21
EXT-S10,Error reporter (Sentry),As a maintainer I receive crash reports,Sentry envelope API; opt-out telemetry_enabled=false; stack parse,DSN parse fail disables silently; minified stack mangled,"TC: send error; TC: opt-out; TC: bad DSN",NOT-TESTED,0,,,
EXT-S11,Debugger manager,As a system I capture console/network/captcha,ensureDebugger; auto-reattach; session-scoped capture; popup tracking,detach during nav; limits 200/500; target discovery optional,"TC: attach+reuse; TC: reattach; TC: console capture; TC: network capture; TC: scope isolation",NOT-TESTED,0,,,
EXT-S12,Indicator manager,As a user I see when the agent is active,Pulsing glow; hide before screenshots; restore after,content script not loaded silent,"TC: show; TC: hide-for-tool; TC: restore",NOT-TESTED,0,,,
EXT-S13,DOM service,As a system I extract+serialize+resolve DOM,extractDomState 4 CDP merge; serialize browser-use format; buildAxLookup; resolve coords 4-fallback,no box model direct-click; iframe offsets; truncation 40000 can overshoot by one node,"TC: serialize interactive ref+selectorMap; TC: skip disabled; TC: truncation; TC: aria role; TC: buildAxLookup index/skip; TC(live): extract/resolve coords",PARTIAL,1,Low,serializer.test.js + tree-builder.test.js added; DEF-008 OPEN; extractDomState/element-resolver need live CDP,2026-06-21
EXT-U01,Model-not-ready screen,As a new user I am guided to setup,Shows setup banner + command when availableModels empty,connect-manually button,"TC: empty models shows banner; TC: has models hides",NOT-TESTED,0,,,
EXT-U02,Model selector dropdown,As a user I switch models,Button + dropdown; keyboard nav arrows/escape/enter; aria,disabled when no models,"TC: open/select; TC: keyboard nav; TC: disabled",NOT-TESTED,0,,,
EXT-U03,New chat,As a user I clear the chat,Confirms if messages exist; clears history; Ctrl/Cmd+N,confirm only if .message present,"TC: clear with confirm; TC: shortcut",NOT-TESTED,0,,,
EXT-U04,Settings shortcuts,As a user I open settings quickly,Settings button + Ctrl/Cmd+comma,works even disabled,"TC: open settings; TC: shortcut toggle",NOT-TESTED,0,,,
EXT-U05,Message rendering,As a user I see typed messages,Renders user/assistant/streaming/thinking/error/system; markdown; XSS escaped,failed image no alt; dangling markdown tags,"TC: each type; TC: markdown; TC: xss escape",PARTIAL,0,,Message.test.jsx,2026-06-21
EXT-U06,Message auto-scroll,As a user I stay pinned to latest,Auto-scroll only if within 50px of bottom,user scrolled up disables,"TC: pin bottom; TC: scrolled-up no jump",NOT-TESTED,0,,,
EXT-U07,Steps section,As a user I see agent steps,Collapsible step count; auto-expand on pending; tool icon+desc+result,result truncated 100 chars; action label coverage,"TC: collapse/expand; TC: pending spinner; TC: truncation; TC: all computer action labels",TESTED,1,Low,DEF-006 fixed: getActionDescription covers hover/drag/triple_click/wait/zoom/scroll_to,2026-06-21
EXT-U08,Empty state,As a user I get example prompts,3 mode-aware examples; click fills input,human vs agent mode fallback,"TC: human examples default; TC: agent examples; TC: click fills onSelectExample",TESTED,0,,EmptyState.test.jsx (3 cases),2026-06-21
EXT-U09,Input textarea,As a user I type a task,Auto-resize<=150px; Enter submits Shift+Enter newline; paste/drop images,empty disables send,"TC: type+submit; TC: shift-enter; TC: autoresize cap",PARTIAL,0,,InputArea.test.jsx,2026-06-21
EXT-U10,Send/Stop button,As a user I send or stop,Send when idle (disabled empty); Stop when running,no-models opens settings instead,"TC: send enabled; TC: disabled empty; TC: stop while running; TC: no-models",PARTIAL,0,,InputArea.test.jsx,2026-06-21
EXT-U11,Image attach,As a user I attach images,Drag/paste/preview with remove; image/* only,no size limit; first paste image only; unbounded count,"TC: drag; TC: paste; TC: remove; TC: non-image ignored",NOT-TESTED,0,,,
EXT-U12,Settings connections,As a user I configure providers,OAuth import/disconnect; API key per provider; vertex JSON,vertex JSON parse silent fail; unsaved local state,"TC: oauth connect; TC: api key save; TC: vertex json",NOT-TESTED,0,,,
EXT-U13,Settings skills,As a user I add site tips,Add domain+skill; edit/delete; built-in read-only,both fields required; domain lowercased,"TC: add skill; TC: validation; TC: edit; TC: delete",NOT-TESTED,0,,,
EXT-U14,Custom endpoint,As a user I add a local/custom model,Form name+baseUrl+modelId+key; lists existing,name+baseUrl+modelId required; no URL validation,"TC: add custom; TC: missing field disabled; TC: remove",NOT-TESTED,0,,,
EXT-U15,Focus trap,As a user modals trap keyboard focus,Tab cycle; pull focus back if escaped; safe restore on unmount,no focusable passive; scroll not trapped; escaped focus; detached restore target,"TC: focus first; TC: tab wrap; TC: shift-tab wrap; TC: escaped focus recovered; TC: safe restore",TESTED,2,High,DEF-002/003 fixed: focus escape + unsafe restore; useFocusTrap.test.jsx added,2026-06-21
EXT-U16,Plan approval modal,As a user I approve/reject plans,Shows domains+approach; approve/cancel; escape; focus trap,overlay click closes; string vs array approach,"TC: render domains+steps; TC: string approach; TC: approve; TC: cancel; TC: escape; TC: overlay-click vs body-click",TESTED,0,,PlanModal.test.jsx (6 cases),2026-06-21
EXT-U17,Markdown formatting,As a user assistant text is formatted,bold/italic/code/lists; HTML escaped,unbalanced inline; nesting; dangling tags,"TC: bold/italic/code; TC: lists; TC: escape; TC: unbalanced",PARTIAL,0,,format.test.js,2026-06-21
EXT-U18,useConfig hook,As a system I load+expose config,Builds model list from 5 sources; oauth/codex status,vertex parse silent; no load retry,"TC: load; TC: build models; TC: select model",PARTIAL,0,,useConfig.test.jsx,2026-06-21
EXT-U19,useChat hook,As a system I manage chat state,Listens TASK_UPDATE/COMPLETE/ERROR/PLAN; state transitions,currentStepsRef non-reactive; image clear,"TC: task lifecycle; TC: plan approval; TC: clear",PARTIAL,0,,useChat.test.jsx,2026-06-21
EXT-O01,Onboarding status polling,As a new user I see live setup status,Polls config+oauth+codex every 3s,N/A,"TC: poll updates; TC: checking state",NOT-TESTED,0,,,
EXT-O02,CLI setup recommendation,As a new user I copy the setup command,Shows npx command + copy button (2s feedback),clipboard API,"TC: copy feedback",NOT-TESTED,0,,,
EXT-O03,Status checklist,As a new user I see what is configured,Extension installed + credentials configured items,shows credential sources,"TC: credentials present; TC: pending",NOT-TESTED,0,,,
EXT-O04,Ready state,As a new user I confirm readiness,Success banner + Got-it marks onboarding_completed; post-completion next steps,pre vs post completion,"TC: pre-complete banner; TC: post-complete steps",NOT-TESTED,0,,,
EXT-O05,Import creds (onboarding),As a new user I import Claude/Codex creds,IMPORT_CLI/CODEX messages; reload status; disabled when connected,connecting disables,"TC: import claude; TC: import codex; TC: error banner",NOT-TESTED,0,,,
EXT-O06,API key entry (onboarding),As a new user I enter an API key,Provider grid; password input; Enter saves; disabled empty,clears after save,"TC: select+save; TC: empty disabled",NOT-TESTED,0,,,
EXT-O07,Custom endpoint (onboarding),As a new user I add a custom endpoint,4 inputs; required name+baseUrl+modelId; list+remove,optional api key,"TC: add; TC: validation",NOT-TESTED,0,,,
SRV-M01,browser_start,As an agent I start a browser task,Validates task; checks license/creds/extension; creates session; waits up to 5min,timeout returns timeout status; max 5 sessions; extension offline queued,"TC: start happy; TC: empty task; TC: timeout; TC: concurrency cap; TC: extension offline",NOT-TESTED,0,,Has cli/integration tests partially,
SRV-M02,browser_message,As an agent I resume a session,Validates session+message; resets to running; waits,nonexistent session error; timeout,"TC: resume; TC: bad session; TC: empty message",NOT-TESTED,0,,,
SRV-M03,browser_status,As an agent I check session status,No id=all sessions; id=single or error; last 5 steps,no persistence across restart,"TC: all; TC: single; TC: missing",NOT-TESTED,0,,,
SRV-M04,browser_stop,As an agent I stop a session,Stop signal; remove deletes; else marks stopped,nonexistent error; resume if not removed,"TC: stop; TC: stop+remove; TC: missing",NOT-TESTED,0,,,
SRV-M05,browser_screenshot,As an agent I capture via MCP,Screenshot request; waits 5s for PNG; image+text or timeout,timeout cleanup; no session=active tab,"TC: capture; TC: timeout",NOT-TESTED,0,,,
SRV-M06,mcp_get_info handler,As a planning server I answer info queries,LLM answers query vs context; raw context fallback,no context not-found; LLM failure fallback,"TC: answer; TC: no context; TC: llm fail",NOT-TESTED,0,,,
SRV-M07,mcp_escalate handler,As a planning server I give guidance,LLM guidance from problem+task; 600 token cap,missing fields fallback; llm fail,"TC: guidance; TC: missing fields",NOT-TESTED,0,,,
SRV-C01,CLI start,As a user I start a task from CLI,Reads task arg/stdin; skill discovery; session file; blocks or --detach,no task error; invalid timeout; skill not found lists,"TC: start; TC: stdin; TC: detach; TC: bad skill; TC: timeout",PARTIAL,0,,integration.test.ts,2026-06-21
SRV-C02,CLI status,As a user I list/inspect sessions,No id lists all (pruned); id single or error,no sessions message,"TC: list; TC: single; TC: empty",PARTIAL,0,,session-files.test.ts,2026-06-21
SRV-C03,CLI message,As a user I resume from CLI,Finds session; sends; appends log; blocks,bad session error; timeout exit 3,"TC: resume; TC: bad session; TC: timeout",PARTIAL,0,,,2026-06-21
SRV-C04,CLI logs,As a user I read/follow logs,Last 50 lines; --follow watches; SIGINT stops,log not found error; no rotation,"TC: read; TC: follow",NOT-TESTED,0,,,
SRV-C05,CLI stop,As a user I stop from CLI,Stop signal; --remove deletes files,nonexistent not validated,"TC: stop; TC: remove",PARTIAL,0,,,2026-06-21
SRV-C06,CLI screenshot,As a user I capture from CLI,Request; waits 10s; saves PNG; prints path,timeout exit 2,"TC: capture; TC: timeout",NOT-TESTED,0,,,
SRV-C07,CLI skills,As a user I list/install skills,Lists bundled; install copies or --latest fetches GitHub,not found suggests --latest; github 404,"TC: list; TC: install; TC: latest; TC: missing",PARTIAL,0,,skills-discovery.test.ts,2026-06-21
SRV-C08,CLI doctor,As a user I diagnose setup,Relay+creds+sessions report; JSON,relay down; no creds,"TC: report; TC: json; TC: relay down",PARTIAL,0,,doctor.test.ts,2026-06-21
SRV-C09,CLI setup,As a user I install MCP config,Detects agents; injects MCP config; installs skills,no agents silent; merge fail logs,"TC: detect+inject; TC: --yes; TC: skills",PARTIAL,0,,setup.test.ts,2026-06-21
SRV-C10,CLI version/help,As a user I see version/help,Reads package.json version; formatted help,pkg missing throws,"TC: version; TC: help",NOT-TESTED,0,,,
SRV-C11,Arg parser,As a system I parse CLI flags,parseFlags spec; parseDuration 30s/10m/1h,unknown flags ignored; invalid duration throws; string flag lookahead,"TC: flags; TC: short; TC: duration; TC: bad duration",PARTIAL,1,Low,DEF-007 WONT-FIX: string flag swallows following flag; fix risks valid '-' values,2026-06-21
SRV-C12,Session files,As a system I persist sessions atomically,JSON+log+png; temp+rename atomic; prune 7d terminal,corrupt JSON null; concurrent writes; binary png cleanup,"TC: write/read; TC: atomic concurrent; TC: corrupt; TC: prune; TC: png deleted",TESTED,1,Medium,DEF-001 fixed: deleteSessionFiles now removes .png,2026-06-21
SRV-C13,Skills discovery,As a system I enumerate bundled skills,Scans SKILL.md frontmatter; category/description,no dir empty; bad YAML skipped,"TC: discover; TC: bad yaml; TC: missing dir",PARTIAL,0,,skills-discovery.test.ts,2026-06-21
SRV-C14,JSON output,As a system I build JSON payloads,Payload builders for complete/error/status/stop/screenshot,pass-through no validation,"TC: each builder",PARTIAL,0,,json-output.test.ts,2026-06-21
SRV-C15,Detect credentials,As a system I find credential sources,env->claude file->keychain->codex priority,unreadable skipped; keychain darwin only,"TC: env; TC: file; TC: keychain; TC: codex; TC: order",PARTIAL,0,,detect-credentials.test.ts,2026-06-21
SRV-C16,Exit codes,As an agent I detect outcome by code,0 success 1 task-error 2 cli-error 3 timeout,N/A,"TC: code constants",PARTIAL,0,,exit-codes.test.ts,2026-06-21
SRV-R01,Relay routing,As a system I route messages,extension<->mcp/cli routing; sourceClientId or broadcast,empty queue; ping 20s keepalive,"TC: route to client; TC: broadcast",NOT-TESTED,0,,,
